Choice,Composite,Type,InstCode,Institute,BranchCode,Branch,PwDseat,Reach,Note
76,84.25,GFTI,422,"Punjab Engineering College, Chandigarh",4110,Computer Science and Engineering,Y,No-data,
77,84.2,NIT,223,"National Institute of Technology, Rourkela",4125,Mechanical Engineering,Y,Borderline,
78,84.1,NIT,226,"National Institute of Technology, Tiruchirappalli",4145,Production Engineering,Y,Good,
79,83.8,IIIT,310,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4196,Computer Science and Engineering with Major in Artificial Intelligence,Y,Out,
80,83.65,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4111,Electrical Engineering,Y,Good,
81,83.5,NIT,219,"National Institute of Technology, Jamshedpur",4114,Electronics and Communication Engineering,Y,Borderline,
82,83.5,IIIT,315,Indian Institute of Information Technology Lucknow,4184,Computer Science,Y,Reach,
83,83.5,IIIT,315,Indian Institute of Information Technology Lucknow,410C,Computer Science and Business,Y,Borderline,
84,83.45,NIT,206,National Institute of Technology Calicut,4125,Mechanical Engineering,Y,Borderline,
85,83.45,NIT,220,"National Institute of Technology, Kurukshetra",4146,Information Technology,Y,Out,
86,83.25,NIT,228,"National Institute of Technology, Warangal",4107,Chemical Engineering,Y,Reach,
87,83.25,NIT,228,"National Institute of Technology, Warangal",5210,Chemical Engineering,Y,Out,
88,83.05,GFTI,422,"Punjab Engineering College, Chandigarh",4603,Computer Science Engineering (Artificial Intelligence),Y,No-data,
89,83.05,GFTI,422,"Punjab Engineering College, Chandigarh",4604,Computer Science Engineering (Data Science),Y,No-data,
90,82.9,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4111,Electrical Engineering,Y,SAFE,
91,82.75,NIT,224,"National Institute of Technology, Silchar",4114,Electronics and Communication Engineering,Y,Borderline,
92,82.75,IIIT,307,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",4110,Computer Science and Engineering,Y,SAFE,
93,82.7,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",4125,Mechanical Engineering,Y,Good,
94,82.6,NIT,223,"National Institute of Technology, Rourkela",5258,Ceramic Engineering and M.Tech Industrial Ceramic,-,Out,
95,82.6,NIT,223,"National Institute of Technology, Rourkela",4155,Industrial Design,-,Out,
96,82.5,NIT,226,"National Institute of Technology, Tiruchirappalli",4107,Chemical Engineering,Y,Out,
97,82.3,IIIT,315,Indian Institute of Information Technology Lucknow,4190,Computer Science and Artificial Intelligence,Y,Borderline,
98,82.15,NIT,208,National Institute of Technology Durgapur,4111,Electrical Engineering,Y,Good,
99,82.0,IIIT,320,Indian Institute of Information Technology (IIIT) Nagpur,410G,Computer Science Engineering (Human Computer lnteraction and Gaming Technology),Y,Good,
100,82.0,IIIT,320,Indian Institute of Information Technology (IIIT) Nagpur,4110,Computer Science and Engineering,Y,Good,
101,81.95,NIT,202,Malaviya National Institute of Technology Jaipur,4125,Mechanical Engineering,Y,Borderline,
102,81.85,NIT,206,National Institute of Technology Calicut,4145,Production Engineering,Y,SAFE,
103,81.75,NIT,211,"National Institute of Technology Karnataka, Surathkal",4107,Chemical Engineering,Y,Good,
104,81.45,GFTI,422,"Punjab Engineering College, Chandigarh",4124,Mathematics and Computing,Y,No-data,
105,81.4,NIT,203,Maulana Azad National Institute of Technology Bhopal,4111,Electrical Engineering,Y,Good,
106,81.4,NIT,203,Maulana Azad National Institute of Technology Bhopal,412X,Energy and Electrical Vehicle Engineering,-,Out,
107,81.25,NIT,228,"National Institute of Technology, Warangal",4109,Civil Engineering,Y,Out,
108,81.25,IIIT,309,"Indian Institute of Information Technology, Allahabad",4114,Electronics and Communication Engineering,Y,Reach,
109,81.25,IIIT,309,"Indian Institute of Information Technology, Allahabad",5234,Electronics and Communication Engineering,-,No-data,
110,81.25,IIIT,321,Indian Institute of Information Technology (IIIT) Pune,4110,Computer Science and Engineering,Y,Good,
111,81.2,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4125,Mechanical Engineering,Y,Borderline,
112,81.0,NIT,223,"National Institute of Technology, Rourkela",4107,Chemical Engineering,Y,Reach,
113,81.0,NIT,223,"National Institute of Technology, Rourkela",5210,Chemical Engineering,-,No-data,
114,80.8,IIIT,320,Indian Institute of Information Technology (IIIT) Nagpur,410E,Computer Science Engineering (Artificial lntelligence and Machine Learning),Y,No-data,
115,80.8,IIIT,320,Indian Institute of Information Technology (IIIT) Nagpur,410F,Computer Science Engineering (Data Science and Analytics),Y,Good,
116,80.75,NIT,224,"National Institute of Technology, Silchar",4142,Electronics and Instrumentation Engineering,Y,Good,
117,80.75,IIIT,307,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",4188,Artificial Intelligence and Data Science,Y,SAFE,
118,80.65,NIT,220,"National Institute of Technology, Kurukshetra",4111,Electrical Engineering,Y,Good,
119,80.65,NIT,220,"National Institute of Technology, Kurukshetra",5217,Electrical Engineering,Y,Out,
120,80.6,NIT,203,Maulana Azad National Institute of Technology Bhopal,413N,Electrical Engineering with E Mobility,-,No-data,
121,80.5,NIT,226,"National Institute of Technology, Tiruchirappalli",4109,Civil Engineering,Y,Out,
122,80.5,IIIT,311,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",4114,Electronics and Communication Engineering,Y,Good,
123,80.5,IIIT,308,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",4110,Computer Science and Engineering,Y,SAFE,
124,80.5,IIIT,308,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",410J,Computer Science and Engineering (Cyber Security),Y,No-data,
125,80.45,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4125,Mechanical Engineering,Y,SAFE,
126,80.45,IIIT,309,"Indian Institute of Information Technology, Allahabad",5424,B. Tech. Information Technology-Business Informatics (IT- BIn) - Master of Business Administration (MBA),-,No-data,
127,80.45,IIIT,309,"Indian Institute of Information Technology, Allahabad",4146,Information Technology,Y,Out,
128,80.45,IIIT,309,"Indian Institute of Information Technology, Allahabad",5280,Information Technology,Y,No-data,
129,80.45,IIIT,309,"Indian Institute of Information Technology, Allahabad",4186,Information Technology-Business Informatics,Y,Out,
130,80.25,NIT,206,National Institute of Technology Calicut,4107,Chemical Engineering,Y,Good,
131,80.2,IIIT,310,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",523T,B.Tech. in Electronics and Communication Engineering and M.Tech. in Microelectronics and VLSI Systems,Y,Good,
