Choice,Type,InstCode,Institute,BranchCode,Branch,PwDseat,HisQuota,Reach,OBC-PwD_close,Gen-PwD_close
84,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",413Y,Chemical Technology (Bioprocess Technology),Y,OS,No-data,,
85,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",4109,Civil Engineering,Y,OS,SAFE,1047,1172
86,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",4127,Metallurgical and Materials Engineering,Y,OS,SAFE,843,1364
87,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",5101,Architecture,Y,OS,Out,87,184
88,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",4130,Mining Engineering,-,OS,Out,,
89,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",4117,Engineering Physics,Y,OS,No-data,,
90,NIT,202,Malaviya National Institute of Technology Jaipur,4110,Computer Science and Engineering,Y,OS,Out,74,138
91,NIT,202,Malaviya National Institute of Technology Jaipur,411G,Artificial Intelligence and Data Engineering,-,OS,Out,,
92,NIT,202,Malaviya National Institute of Technology Jaipur,4124,Mathematics and Computing,Y,OS,No-data,,
93,NIT,202,Malaviya National Institute of Technology Jaipur,4114,Electronics and Communication Engineering,Y,OS,Out,90,
94,NIT,202,Malaviya National Institute of Technology Jaipur,4111,Electrical Engineering,Y,OS,Good,507,1057
95,NIT,202,Malaviya National Institute of Technology Jaipur,4125,Mechanical Engineering,Y,OS,Borderline,,1006
96,NIT,202,Malaviya National Institute of Technology Jaipur,4107,Chemical Engineering,Y,OS,SAFE,840,1075
97,NIT,202,Malaviya National Institute of Technology Jaipur,4109,Civil Engineering,Y,OS,Reach,,832
98,NIT,202,Malaviya National Institute of Technology Jaipur,4127,Metallurgical and Materials Engineering,Y,OS,Good,,1277
99,NIT,202,Malaviya National Institute of Technology Jaipur,5101,Architecture,Y,OS,Out,,98
100,NIT,202,Malaviya National Institute of Technology Jaipur,4117,Engineering Physics,Y,OS,No-data,,
101,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4110,Computer Science and Engineering,Y,OS,Out,79,148
102,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4124,Mathematics and Computing,Y,OS,No-data,,
