Rank,Type,Institute,Branch,Avg General-GN close,2023,2024,2025
96,NIT,National Institute of Technology Delhi,Aerospace Engineering,13816,,14243,13389
97,NIT,"National Institute of Technology, Tiruchirappalli",Chemical Engineering,13900,15816,13950,11935
98,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Information Technology,13972,13180,14120,14615
99,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Data Science and Engineering,14068,13373,14016,14814
100,NIT,National Institute of Technology Durgapur,Electronics and Communication Engineering,14130,14893,13608,13888
101,NIT,National Institute of Technology Delhi,VLSI Design and Technology,14205,,15438,12972
102,NIT,National Institute of Technology Hamirpur,Computer Science and Engineering,14230,14111,14106,14474
103,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Electronics and Communication Engineering,14374,15093,13942,14086
104,NIT,Malaviya National Institute of Technology Jaipur,Electrical Engineering,14419,15422,13170,14665
105,NIT,National Institute of Technology Patna,Computer Science and Engineering,14467,13964,14442,14996
106,NIT,Maulana Azad National Institute of Technology Bhopal,Mathematics and Data Science,14519,13855,14740,14961
107,NIT,"National Institute of Technology, Warangal",Mechanical Engineering,14706,15749,14333,14037
108,IIIT,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Computer Science and Engineering,14709,14584,14757,14787
109,NIT,"National Institute of Technology, Kurukshetra",Microelectronics & VLSI Engineering,14777,,14399,15155
110,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mathematics and Computing,14780,,14559,15002
111,NIT,Maulana Azad National Institute of Technology Bhopal,Electronics and Communication Engineering,14928,15624,14955,14205
112,NIT,"National Institute of Technology Karnataka, Surathkal",Chemical Engineering,15010,16357,15195,13477
113,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",Computer Science and Engineering,15037,13711,14635,16765
114,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and Communication Engineering,15568,15255,15270,16180
115,NIT,"Visvesvaraya National Institute of Technology, Nagpur",Electrical and Electronics Engineering,15606,16931,14761,15125
116,NIT,National Institute of Technology Patna,Mathematics and Computing Technology,15634,14191,15362,17348
117,NIT,National Institute of Technology Patna,Computer Science and Engineering with Specialization in Data Science,15738,14115,15659,17439
