Rank,Type,Institute,Branch,Avg General-GN close,2023,2024,2025
280,NIT,National Institute of Technology Agartala,Computational Mathematics,33664,33509,34842,32640
281,IIIT,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana",CSE ( Data Science & Analytics),33764,,31601,35928
282,NIT,National Institute of Technology Nagaland,Computer Science and Engineering,33795,30401,31391,39594
283,IIIT,Indian Institute of Information Technology Bhopal,B.Tech in Mathematics and Computing,33940,,,33940
284,NIT,"National Institute of Technology, Silchar",Mechanical Engineering,34024,35691,32251,34130
285,NIT,"National Institute of Technology, Kurukshetra",SUSTAINABLE ENERGY TECHNOLOGIES,34071,,32019,36123
286,NIT,"National Institute of Technology, Mizoram",Computer Science and Engineering,34089,31336,33181,37751
287,NIT,"National Institute of Technology, Andhra Pradesh",Electrical and Electronics Engineering,34089,33347,34473,34448
288,NIT,Malaviya National Institute of Technology Jaipur,Civil Engineering,34129,34032,32608,35746
289,NIT,National Institute of Technology Calicut,Materials Science and Engineering,34146,38388,33674,30375
290,IIIT,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",Electronics and Communication Engineering,34171,31608,34167,36737
291,IIIT,Indian Institute of Information Technology (IIIT) Ranchi,Computer Science and Engineering,34351,32560,32429,38063
292,IIIT,Indian Institute of Information Technology Surat,Electronics and Communication Engineering,34354,32751,34263,36049
293,NIT,National Institute of Technology Calicut,Civil Engineering,34517,37216,33650,32686
294,NIT,National Institute of Technology Durgapur,Chemical Engineering,34624,36240,33696,33937
295,NIT,National Institute of Technology Durgapur,Chemical Engineering,34728,32936,34405,36842
296,IIIT,"Indian institute of information technology, Raichur, Karnataka",Computer Science and Engineering,34770,33268,34282,36760
297,NIT,"National Institute of Technology, Srinagar",Electronics and Communication Engineering,34771,34057,33605,36651
298,NIT,Motilal Nehru National Institute of Technology Allahabad,Production and Industrial Engineering,35058,34482,35559,35132
299,NIT,National Institute of Technology Calicut,Production Engineering,35348,36530,33433,36080
300,GFTI,"International Institute of Information Technology, Bhubaneswar",Computer Engineering,35487,32893,33451,40118
301,IIIT,"Indian Institute of Information Technology, Vadodara International Campus Diu (IIITVICD)",Computer Science and Engineering,35496,34862,32396,39231
302,GFTI,"International Institute of Information Technology, Bhubaneswar",Information Technology,35615,33260,33712,39873
303,IIIT,Indian Institute of Information Technology Bhopal,Computer Science and Engineering (Cyber Physical System),35838,,,35838
304,NIT,"National Institute of Technology, Rourkela",Mining Engineering,35860,39954,31895,35731
305,NIT,Maulana Azad National Institute of Technology Bhopal,Chemical Engineering,35971,37545,34554,35814
306,NIT,National Institute of Technology Hamirpur,Mechanical Engineering,36053,36665,35236,36258
307,IIIT,Indian Institute of Information Technology(IIIT) Kottayam,Computer Science and Engineering,36070,31998,35996,40217
308,NIT,"National Institute of Technology, Kurukshetra",Civil Engineering,36096,,34173,38018
309,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Chemical Engineering,36151,38015,34327,36111
310,NIT,Motilal Nehru National Institute of Technology Allahabad,Bio Technology,36203,35995,35422,37193
311,NIT,National Institute of Technology Raipur,Mechanical Engineering,36207,37689,35628,35303
312,IIIT,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Electronics and Communication Engineering,36340,38934,36490,33596
313,NIT,National Institute of Technology Agartala,Mathematics & Computing,36378,38103,31639,39393
314,NIT,"National Institute of Technology, Kurukshetra",Civil Engineering,36390,38155,34647,36367
315,NIT,National Institute of Technology Sikkim,Electronics and Communication Engineering,36426,35568,37004,36705
316,NIT,National Institute of Technology Hamirpur,Engineering Physics,36452,33687,35666,40002
317,NIT,National Institute of Technology Calicut,Bio Technology,36480,38003,35922,35514
318,NIT,"National Institute of Technology, Rourkela",Metallurgical and Materials Engineering,36532,38512,35955,35129
319,IIIT,Indian Institute of Information Technology Bhopal,Electronics and Communication Engineering,36819,34855,35355,40247
320,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,Electronics and Communication Engineering (Internet of Things),37009,36175,35608,39245
321,NIT,"National Institute of Technology, Rourkela",Bio Medical Engineering,37018,38477,37811,34766
322,IIIT,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",Computer Science and Engineering ( Artificial Intelligence & Data Science),37118,,,37118
323,NIT,"National Institute of Technology, Mizoram",Mathematics and Computing,37158,37134,36482,37859
324,NIT,"National Institute of Technology, Warangal",Chemistry,37158,41976,31513,37985
325,IIIT,Indian Institute of Information Technology(IIIT) Kottayam,Computer Science and Engineering with specialization in Cyber Security,37276,34134,36976,40718
326,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",Artificial Intelligence and Data Science,37286,37820,36999,37040
327,NIT,National Institute of Technology Patna,Mechanical Engineering,37299,37533,36958,37407
328,NIT,"Visvesvaraya National Institute of Technology, Nagpur",Civil Engineering,37338,38456,36655,36904
329,GFTI,"Jawaharlal Nehru University, Delhi",Electronics and Communication Engineering,37536,35534,35486,41588
330,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",Mechanical Engineering,37557,37579,35857,39236
331,NIT,"National Institute of Technology, Rourkela",Ceramic Engineering,37629,42865,36000,34022
332,IIIT,Indian Institute of Information Technology(IIIT) Dharwad,Computer Science and Engineering,37712,34597,37419,41121
333,NIT,"National Institute of Technology, Rourkela",Mining Engineering,37781,39670,32461,41212
334,NIT,National Institute of Technology Agartala,Electronics and Instrumentation Engineering,37839,39683,37244,36589
335,NIT,National Institute of Technology Agartala,Electrical Engineering,37849,39922,38044,35580
336,IIIT,Indian Institute of Information Technology Tiruchirappalli,Electronics and Communication Engineering,37883,38121,36702,38827
337,IIIT,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",Electronics and Communication Engineering,37951,,,37951
338,NIT,Malaviya National Institute of Technology Jaipur,Metallurgical and Materials Engineering,38125,39406,36965,38003
339,IIIT,"Indian institute of information technology, Raichur, Karnataka",Artificial Intelligence and Data Science,38173,35154,37788,41577
340,NIT,Motilal Nehru National Institute of Technology Allahabad,Materials Engineering,38225,,38008,38442
341,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,Electronics and Communication Engineering,38760,37906,37530,40844
342,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",B.Tech in Mechanical Engineering and M.Tech in AI and Robotics,38999,,39290,38708
343,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",Computer Science and Engineering,39048,37998,37958,41188
344,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,39060,40417,37272,39490
345,IIIT,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",Electronics and Communication Engineering,39128,37252,37935,42197
346,NIT,National Institute of Technology Meghalaya,Electrical and Electronics Engineering,39551,39316,36106,43231
347,IIIT,"Indian Institute of Information Technology, Agartala",Computer Science and Engineering,39617,35192,39356,44304
348,NIT,National Institute of Technology Patna,Mechanical Engineering with Specialization in Manufacturing and Industrial Engineering,39719,41945,39044,38169
349,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Engineering Physics,39727,,,39727
350,IIIT,Indian Institute of Information Technology(IIIT) Dharwad,Data Science and Artificial Intelligence,39888,37258,39077,43328
351,NIT,"National Institute of Technology, Manipur",Electronics and Communication Engineering,39950,37030,40126,42695
352,IIIT,Indian Institute of Information Technology(IIIT) Kottayam,Electronics and Communication Engineering,40147,39165,39875,41402
353,NIT,National Institute of Technology Arunachal Pradesh,Electronics and Communication Engineering,40343,38784,40722,41523
354,NIT,"National Institute of Technology, Kurukshetra",Production and Industrial Engineering,40373,42295,39314,39510
355,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Quantitative Economics & Data Science,40396,36200,41337,43651
356,NIT,National Institute of Technology Patna,Material Science and Engineering,40406,43896,37241,40081
357,IIIT,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",Computer Science and Engineering,40447,37195,39991,44154
358,NIT,National Institute of Technology Hamirpur,Chemical Engineering,40783,42702,39188,40460
359,IIIT,Indian Institute of Information Technology Bhagalpur,Computer Science and Engineering,40826,38522,39481,44476
360,NIT,National Institute of Technology Raipur,Chemical Engineering,41042,42804,39335,40986
361,NIT,National Institute of Technology Durgapur,Civil Engineering,41198,42439,40215,40941
362,IIIT,"Indian institute of information technology, Raichur, Karnataka",Mathematics and Computing,41288,,39100,43476
363,IIIT,Indian Institute of Information Technology (IIIT) Ranchi,Electronics and Communication Engineering (with Specialization of Embedded Systems and Internet of Things),41288,40065,39295,44503
364,GFTI,Shri G. S. Institute of Technology and Science Indore,Electronics and Telecommunication Engineering,41294,,,41294
365,NIT,"National Institute of Technology, Srinagar",Electrical Engineering,41397,40467,40442,43282
366,NIT,"National Institute of Technology, Uttarakhand",Mechanical Engineering,41413,42700,40565,40975
367,GFTI,"International Institute of Information Technology, Bhubaneswar",Electronics and Telecommunication Engineering,41479,39047,39955,45436
368,NIT,"National Institute of Technology, Jamshedpur",Civil Engineering,41573,43745,40903,40071
369,IIIT,Indian Institute of Information Technology Bhagalpur,Mathematics and Computing,41684,39655,39975,45422
370,NIT,National Institute of Technology Patna,Chemical Technology,41776,45504,36034,43789
371,NIT,National Institute of Technology Puducherry,Mechanical Engineering,41779,40208,42247,42881
372,IIIT,Indian Institute of Information Technology (IIIT) Ranchi,B.Tech in Mathematics and Computing,41831,,,41831
373,IIIT,Indian Institute of Information Technology (IIIT) Ranchi,Electronics and Communication Engineering,41973,40510,40194,45216
374,NIT,"Visvesvaraya National Institute of Technology, Nagpur",Metallurgical and Materials Engineering,41975,43133,42379,40413
375,NIT,Maulana Azad National Institute of Technology Bhopal,Civil Engineering,42209,43903,39973,42750
376,NIT,National Institute of Technology Sikkim,Electrical and Electronics Engineering,42301,40863,42538,43501
377,NIT,"National Institute of Technology, Rourkela",Food Process Engineering,42318,45340,41605,40010
378,IIIT,Indian Institute of Information Technology(IIIT) Dharwad,Electronics and Communication Engineering,42398,40610,41143,45440
379,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",Electronics and Communication Engineering with specialization in Design and Manufacturing,42461,41292,41985,44105
380,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Civil Engineering,42506,43794,42166,41558
381,GFTI,"Institute of Infrastructure, Technology, Research and Management-Ahmedabad",Computer Engineering,42550,39867,40078,47706
382,IIIT,"Indian Institute of Information Technology, Vadodara International Campus Diu (IIITVICD)",Artificial Intelligence,42565,,,42565
383,NIT,National Institute of Technology Nagaland,Electronics and Communication Engineering,42573,40671,42889,44158
384,NIT,"National Institute of Technology, Andhra Pradesh",Mechanical Engineering,42635,42801,41191,43912
385,IIIT,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Mechanical Engineering,42867,42814,41353,44435
386,NIT,"National Institute of Technology, Jamshedpur",Production and Industrial Engineering,42884,45154,39744,43754
387,GFTI,"International Institute of Information Technology, Bhubaneswar",Electrical and Electronics Engineering,43191,41744,41584,46244
388,IIIT,Indian Institute of Information Technology Bhopal,Physics and Computational Engineering,43349,,,43349
389,NIT,"National Institute of Technology, Mizoram",Electronics and Communication Engineering,43429,42287,43128,44871
390,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",Electronics and Communication Engineering,43811,41715,42606,47113
391,IIIT,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",Electronics and Communication Engineering,43990,41775,43031,47163
392,NIT,"National Institute of Technology, Rourkela",Ceramic Engineering and M.Tech Industrial Ceramic,44042,47672,39253,45200
393,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,44074,44281,44274,43668
394,IIIT,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",Computer Science and Engineering (Cyber Security),44403,,,44403
395,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Mechanical Engineering,44607,46172,43513,44137
396,IIIT,Indian Institute of Information Technology Bhagalpur,Electronics and Communication Engineering,44643,43657,42488,47785
397,IIIT,"Indian Institute of Information Technology, Vadodara International Campus Diu (IIITVICD)",Electronics and Communication Engineering,44651,,,44651
398,NIT,"National Institute of Technology, Andhra Pradesh",Chemical Engineering,44739,43864,45161,45191
399,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Mechanical Engineering,44963,44661,43489,46739
400,NIT,National Institute of Technology Arunachal Pradesh,Electrical Engineering,45547,44381,45212,47047
401,NIT,National Institute of Technology Goa,Civil Engineering,45671,47155,44014,45845
402,NIT,Maulana Azad National Institute of Technology Bhopal,Materials Science and Metallurgical Engineering,45675,46555,44668,45803
403,NIT,National Institute of Technology Patna,Civil Engineering with Specialization in Construction Technology and Management,45685,46763,42411,47881
404,NIT,National Institute of Technology Durgapur,Metallurgical and Materials Engineering,45686,48099,44399,44560
405,GFTI,"Puducherry Technological University, Puducherry",Information Technology,45792,45563,44373,47439
406,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Mathematics,46200,51576,45094,41929
407,NIT,"Visvesvaraya National Institute of Technology, Nagpur",Mining Engineering,46237,48145,44834,45731
408,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Industrial Chemistry,46273,,46870,45676
409,NIT,"National Institute of Technology, Jamshedpur",Metallurgical and Materials Engineering,46400,47774,46367,45058
410,NIT,National Institute of Technology Raipur,Civil Engineering,46533,47480,44960,47160
411,NIT,National Institute of Technology Agartala,Mechanical Engineering,46612,47237,46675,45924
412,NIT,"National Institute of Technology, Silchar",Civil Engineering,46653,46505,45391,48062
413,NIT,National Institute of Technology Hamirpur,Civil Engineering,46739,47137,45502,47577
414,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Industrial and Production Engineering,46820,48352,46905,45203
415,NIT,National Institute of Technology Meghalaya,Mechanical Engineering,46845,44699,48332,47505
416,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Physics,46949,52721,43334,44792
417,GFTI,"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad",Computer Science and Engineering with Major in Artificial Intelligence,46987,,43997,49977
418,NIT,"National Institute of Technology, Rourkela",Chemistry,47082,49151,48289,43806
419,NIT,National Institute of Technology Patna,Civil Engineering,47144,46518,46400,48513
420,GFTI,"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad",Computer Science and Engineering,47381,47381,,
421,NIT,National Institute of Technology Agartala,Engineering Physics,47714,50067,45559,47515
422,NIT,National Institute of Technology Hamirpur,Materials Science and Engineering,47981,49915,46742,47285
423,NIT,"National Institute of Technology, Srinagar",Mechanical Engineering,47993,47520,47482,48977
424,GFTI,"Birla Institute of Technology, Patna Off-Campus",Computer Science and Engineering,48378,49849,45956,49330
425,NIT,National Institute of Technology Durgapur,Bio Technology,48446,49399,47888,48052
426,NIT,National Institute of Technology Sikkim,Mechanical Engineering,48454,49141,47070,49151
427,NIT,National Institute of Technology Nagaland,Electrical and Electronics Engineering,48470,47930,47335,50145
428,NIT,"National Institute of Technology, Manipur",Electrical Engineering,48528,47765,47728,50092
429,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Smart Manufacturing,48552,46080,48128,51448
430,NIT,"National Institute of Technology, Uttarakhand",Civil Engineering,48853,48801,48366,49391
431,NIT,National Institute of Technology Durgapur,Biotechnology,48949,48932,47996,49920
432,NIT,"National Institute of Technology, Rourkela",Life Science,48991,49862,45442,51669
433,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,49148,49496,47967,49981
434,NIT,"National Institute of Technology, Mizoram",Electrical Engineering,49251,48542,47514,51698
435,NIT,National Institute of Technology Puducherry,Civil Engineering,49492,50701,47854,49922
436,NIT,National Institute of Technology Nagaland,Electronics and Instrumentation Engineering,49933,49013,47676,53110
437,IIIT,Indian Institute of Information Technology Bhagalpur,Mechatronics and Automation Engineering,50166,49678,47663,53156
438,NIT,National Institute of Technology Agartala,Physics,50185,46448,51420,52688
439,GFTI,"Puducherry Technological University, Puducherry",Computer Science and Engineering,50252,45508,48768,56480
440,NIT,National Institute of Technology Arunachal Pradesh,Mechanical Engineering,50348,49818,50666,50560
441,GFTI,"Central University of Rajasthan, Rajasthan",Computer Science and Engineering,50484,44886,49021,57546
442,NIT,National Institute of Technology Agartala,Chemical Engineering,50530,50367,50320,50902
443,NIT,National Institute of Technology Raipur,Metallurgical and Materials Engineering,50632,52043,49080,50773
444,GFTI,"National Institute of Electronics and Information Technology, Ropar (Punjab)",B.Tech in CSE (AI and ML),50647,,,50647
445,GFTI,Shri G. S. Institute of Technology and Science Indore,Electrical Engineering,50882,,,50882
446,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Design Engineering,50908,,,50908
447,IIIT,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,Computer Science and Engineering with specialization in Artificial Intelligence and Data Science,50958,45374,47179,60321
448,GFTI,Shri G. S. Institute of Technology and Science Indore,Electronics and Instrumentation Engineering,51031,,,51031
449,NIT,"National Institute of Technology, Andhra Pradesh",Civil Engineering,51085,50232,50048,52976
450,IIIT,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Smart Manufacturing,51205,51508,49439,52669
451,GFTI,"National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)",Computer Science and Engineering,51218,,,51218
452,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",Mechanical Engineering with specialization in Design and Manufacturing,51286,51453,49886,52520
453,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",Metallurgy and Materials Engineering,51609,51002,50256,53570
454,IIIT,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,Computer Science and Engineering,51647,46351,50509,58080
455,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",Civil Engineering,51785,52036,49591,53728
456,NIT,"National Institute of Technology, Manipur",Mechanical Engineering,51922,52516,50535,52716
457,GFTI,"National Institute of Advanced Manufacturing Technology, Ranchi",Computer Engineering,52283,49674,50906,56268
458,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",Mechanical Engineering,52287,52162,50444,54254
459,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Chemical Engineering,52317,52487,49909,54554
460,NIT,National Institute of Technology Meghalaya,Civil Engineering,52498,55209,49836,52450
461,NIT,"National Institute of Technology, Andhra Pradesh",Metallurgical and Materials Engineering,52571,53982,51428,52304
462,GFTI,"Birla Institute of Technology, Patna Off-Campus",Artificial Intelligence and Machine Learning,52587,,50586,54588
463,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Textile Technology,52639,53354,50863,53700
464,GFTI,"Assam University, Silchar",Computer Science and Engineering,52897,48929,50836,58926
465,NIT,National Institute of Technology Raipur,Mining Engineering,52960,54340,51623,52916
466,NIT,"National Institute of Technology, Andhra Pradesh",Bio Technology,53191,54146,51528,53898
467,NIT,National Institute of Technology Raipur,Bio Technology,53379,53188,52108,54841
468,GFTI,"Puducherry Technological University, Puducherry",Electronics and Instrumentation Engineering,53416,50207,51227,58814
469,NIT,National Institute of Technology Durgapur,Chemistry,53419,50911,54181,55165
470,NIT,"National Institute of Technology, Mizoram",Mechanical Engineering,53503,53050,52165,55295
471,NIT,"National Institute of Technology, Srinagar",Chemical Engineering,53917,54693,51760,55299
472,NIT,National Institute of Technology Nagaland,Mechanical Engineering,54178,53747,51973,56813
473,GFTI,"Birla Institute of Technology, Deoghar Off-Campus",Computer Science and Engineering,54226,54388,50774,57517
474,NIT,National Institute of Technology Agartala,Civil Engineering,54381,54537,53657,54950
475,NIT,National Institute of Technology Sikkim,Civil Engineering,54721,55629,54266,54268
476,GFTI,Shri G. S. Institute of Technology and Science Indore,Mechanical Engineering,55093,,,55093
477,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Civil Engineering,55191,54720,53237,57616
478,NIT,National Institute of Technology Raipur,Bio Medical Engineering,55223,56271,52916,56483
479,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",Mining Engineering,55315,54788,53043,58114
480,GFTI,"Institute of Infrastructure, Technology, Research and Management-Ahmedabad",Electrical Engineering,55482,52022,52503,61921
481,GFTI,"Central institute of Technology Kokrajar, Assam",Computer Science and Engineering,55583,53251,58033,55464
482,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Chemistry,55715,58313,54901,53932
483,GFTI,Shri G. S. Institute of Technology and Science Indore,Civil Engineering,55931,,,55931
484,GFTI,"Gati Shakti Vishwavidyalaya, Vadodara",B.Tech in Artificial Intelligenece and Data Science (Transportation and Logistics),56492,,56220,56763
485,GFTI,"North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh",Computer Science and Engineering,56613,51980,55764,62096
486,NIT,"National Institute of Technology, Srinagar",Civil Engineering,56689,57678,55070,57319
487,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Physics,56858,57829,55470,57275
488,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Production and Industrial Engineering,57116,55867,55546,59936
489,NIT,National Institute of Technology Agartala,Biotechnology and Biochemical Engineering,57132,56361,55914,59122
490,GFTI,"Puducherry Technological University, Puducherry",Electrical and Electronics Engineering,57217,55745,56968,58937
491,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Bio Technology,57244,55578,57068,59086
492,NIT,"National Institute of Technology, Srinagar",Metallurgical and Materials Engineering,57306,58591,55447,57881
493,NIT,National Institute of Technology Agartala,Production Engineering,57363,58345,56865,56880
494,NIT,National Institute of Technology Arunachal Pradesh,Civil Engineering,57367,57946,55692,58464
495,IIIT,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,Computer Science and Engineering with specialization in Quantum Technologies,57736,,,57736
496,NIT,"National Institute of Technology, Manipur",Civil Engineering,57758,56593,56358,60323
497,GFTI,"Birla Institute of Technology, Patna Off-Campus",Mathematics and Computing,57842,,,57842
498,NIT,"National Institute of Technology, Mizoram",Chemical Science and Technology,57895,,,57895
499,GFTI,"Puducherry Technological University, Puducherry",Electronics and Communication Engineering,57898,56487,56014,61192
500,GFTI,"Birla Institute of Technology, Patna Off-Campus",Electronics and Communication Engineering,58077,59150,56509,58571
501,IIIT,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,Electronics and Communication Engineering,58183,53342,55833,65373
502,GFTI,"National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)",Electronic Engineering,58243,,54579,61907
503,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",B.Tech. (Computer Science and Engineering) - MBA,58363,,,58363
504,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",Computer Science and Engineering,58517,54313,56762,64476
505,GFTI,Central University of Haryana,Computer Science and Engineering,58528,54901,55902,64782
506,NIT,National Institute of Technology Nagaland,Civil Engineering,58571,57852,57171,60689
507,NIT,"National Institute of Technology, Mizoram",Civil Engineering,58777,58131,56579,61620
508,GFTI,"Institute of Chemical Technology, Mumbai: Indian Oil Odisha Campus, Bhubaneswar",Chemical Engineering,59137,56972,56446,63993
509,GFTI,Sant Longowal Institute of Engineering and Technology,Computer Science and Engineering,59237,54514,58940,64256
510,GFTI,"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad",Electronics and Communication Engineering,59436,57081,56755,64472
511,GFTI,"National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)",Electronics System Engineering,59675,59675,,
512,GFTI,"Puducherry Technological University, Puducherry",Chemical Engineering,59691,56136,57233,65703
513,NIT,National Institute of Technology Agartala,Chemistry,59799,59062,57997,62338
514,GFTI,"Central University of Rajasthan, Rajasthan",Electronics and Communication Engineering,59833,57416,57631,64451
515,IIIT,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,Electronics and Communication Engineering with specialization in VLSI and Embedded Systems,59841,53716,56550,69257
516,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Food Engineering  and Technology,60252,59724,59904,61127
517,GFTI,"North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh",Electrical Engineering,60281,60281,,
518,GFTI,"National Institute of Electronics and Information Technology, Ajmer (Rajasthan)","Computer Science and Engineering (Internet of Things, Cyber Security including Block Chain Technology )",60700,,,60700
519,GFTI,"Assam University, Silchar",Electronics and Communication Engineering,61511,58639,58657,67237
520,NIT,National Institute of Technology Arunachal Pradesh,Biosciences and Bioengineering,61897,,,61897
521,GFTI,"North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh",Mechanical Engineering,61948,58384,65512,
522,GFTI,"Institute of Infrastructure, Technology, Research and Management-Ahmedabad",Mechanical Engineering,62546,59939,60156,67544
523,IIIT,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,Computer Science and Engineering with specialization in Cyber Security,62831,,,62831
524,GFTI,"Birla Institute of Technology, Deoghar Off-Campus",Electronics and Communication Engineering,63072,62356,60736,66125
525,GFTI,"Puducherry Technological University, Puducherry",Mechatronics Engineering,63187,64778,60203,64579
526,GFTI,"National Institute of Electronics and Information Technology, Patna (Bihar)",Computer Science and Engineering,63949,,,63949
527,GFTI,"Birla Institute of Technology, Patna Off-Campus",Electrical and Electronics Engineering,63970,65587,61655,64669
528,GFTI,"Gati Shakti Vishwavidyalaya, Vadodara",B.Tech in Electronics & Communication Engineering (Rail Engineering),64532,,63121,65943
529,GFTI,"Central institute of Technology Kokrajar, Assam",Electronics and Communication Engineering,64896,64359,60026,70302
530,GFTI,"Birla Institute of Technology, Deoghar Off-Campus",Electrical and Electronics Engineering,65143,68864,58085,68479
531,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",Computer Science and Engineering,65360,65013,61593,69474
532,GFTI,"National Institute of Advanced Manufacturing Technology, Ranchi",Mechanical Engineering,65709,65805,63321,68000
533,GFTI,"National Institute of Electronics and Information Technology, Gorakhpur (UP)",Computer Science and Engineering with minor in AI and ML,65778,,,65778
534,GFTI,Sant Longowal Institute of Engineering and Technology,Artificial Intelligence and Data Science,66031,,,66031
535,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",Computer Science and Engineering,66116,58070,65174,75104
536,GFTI,Sant Longowal Institute of Engineering and Technology,Electronics and Communication Engineering,66243,64872,63568,70288
537,GFTI,"Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)",Computer Science Engineering (Artificial Intelligence),66592,62380,62904,74493
538,GFTI,"Rajiv Gandhi National Aviation University, Fursatganj, Amethi (UP)",Aerospace Engineering,66956,,,66956
539,GFTI,"Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)",Computer Science Engineering (Data Science),67345,63506,65702,72826
540,GFTI,"Gati Shakti Vishwavidyalaya, Vadodara",B.Tech in Aviation Engineering,67398,,66836,67961
541,GFTI,"Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)",Computer Science and Engineering,67933,69873,63665,70262
542,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",B.Tech in Mathematics and Computing,69306,,66299,72314
543,GFTI,Shri G. S. Institute of Technology and Science Indore,Biomedical Engineering,69348,,,69348
544,GFTI,University of Hyderabad,Materials Engineering,69838,,67449,72228
545,GFTI,"Mizoram University, Aizawl",Computer Engineering,70446,66981,68816,75540
546,GFTI,Shri G. S. Institute of Technology and Science Indore,Industrial and Production Engineering,71193,,,71193
547,GFTI,"Central institute of Technology Kokrajar, Assam",Civil Engineering,71294,65365,63539,84979
