Rank,Type,Institute,Branch,Avg Gen-PwD close,Avg OBC-PwD close
144,NIT,"National Institute of Technology, Kurukshetra",ROBOTICS & AUTOMATION,880,424
145,NIT,National Institute of Technology Arunachal Pradesh,Computer Science and Engineering,882,
146,NIT,National Institute of Technology Raipur,Electrical Engineering,895,
147,NIT,National Institute of Technology Calicut,Mechanical Engineering,916,428
148,NIT,National Institute of Technology Puducherry,Civil Engineering,919,
149,NIT,"Visvesvaraya National Institute of Technology, Nagpur",Mechanical Engineering,924,654
150,NIT,National Institute of Technology Sikkim,Computer Science and Engineering,925,
151,NIT,"National Institute of Technology Karnataka, Surathkal",Civil Engineering,926,478
152,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Artificial Intelligence and Machine Learning,939,1290
153,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,Computer Science and Engineering,941,666
154,GFTI,University of Hyderabad,Materials Engineering,946,1036
155,NIT,"Visvesvaraya National Institute of Technology, Nagpur",Electrical and Electronics Engineering,949,490
156,IIIT,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",Computer Science and Engineering,965,1393
157,NIT,National Institute of Technology Durgapur,Civil Engineering,,970
158,NIT,National Institute of Technology Hamirpur,Electronics and Communication Engineering,979,591
159,IIIT,Indian Institute of Information Technology Bhopal,Computer Science and Engineering (Data Science),1002,754
160,NIT,"National Institute of Technology, Kurukshetra",Industrial Internet of Things,1015,599
161,NIT,National Institute of Technology Calicut,Chemical Engineering,1016,588
162,IIIT,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Artificial Intelligence and Data Science,1016,1180
163,NIT,"National Institute of Technology, Tiruchirappalli",Production Engineering,1018,847
164,NIT,"National Institute of Technology, Srinagar",Information Technology,1025,510
165,NIT,National Institute of Technology Hamirpur,Electronics and Communication Engineering,1035,
166,IIIT,Indian Institute of Information Technology Surat,Computer Science and Engineering (Artificial Intelligence and Machine Learning),1038,
167,NIT,"National Institute of Technology, Andhra Pradesh",Mechanical Engineering,,1046
168,NIT,National Institute of Technology Goa,Mechanical Engineering,,1061
169,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and VLSI Engineering,1072,632
170,NIT,"National Institute of Technology Karnataka, Surathkal",Metallurgical and Materials Engineering,1075,524
171,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Electrical Engineering,1081,611
172,IIIT,Indian Institute of Information Technology Bhopal,Computer Science and Engineering (Artificial Intelligence),1081,1590
173,GFTI,"International Institute of Information Technology, Naya Raipur",Computer Science and Engineering,1084,1042
174,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,Computer Science Engineering (Human Computer lnteraction and Gaming Technology),1092,833
175,NIT,Malaviya National Institute of Technology Jaipur,Mechanical Engineering,1099,
176,IIIT,Indian Institute of Information Technology Surat,Computer Science and Engineering,1102,604
177,NIT,National Institute of Technology Sikkim,Electronics and Communication Engineering,,1105
178,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Electronics and VLSI Engineering,1105,
179,GFTI,"Puducherry Technological University, Puducherry",Mechatronics Engineering,,1120
180,NIT,National Institute of Technology Goa,Electrical and Electronics Engineering,1128,741
181,NIT,Maulana Azad National Institute of Technology Bhopal,Civil Engineering,1129,969
182,NIT,"National Institute of Technology, Manipur",Computer Science and Engineering,1132,675
183,NIT,"National Institute of Technology, Rourkela",Chemical Engineering,1135,
184,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,Computer Science Engineering (Data Science and Analytics),1137,823
185,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",Electronics and Telecommunication Engineering,1140,613
186,NIT,"National Institute of Technology, Manipur",Electronics and Communication Engineering,,1141
187,NIT,National Institute of Technology Calicut,Energy Engineering,1146,630
188,NIT,"National Institute of Technology, Jamshedpur",Mechanical Engineering,1148,970
189,NIT,National Institute of Technology Calicut,Bio Technology,1163,674
