Choice,Type,InstCode,Institute,BranchCode,Branch,PwDseat,Reach2025,Via,OBC-PwD_close,Gen-PwD_close
116,NIT,226,"National Institute of Technology, Tiruchirappalli",4145,Production Engineering,Y,Good,OBC-NCL(PwD),544,954
117,NIT,203,Maulana Azad National Institute of Technology Bhopal,5101,Architecture,Y,Out,General PwD,,115
118,NIT,203,Maulana Azad National Institute of Technology Bhopal,4501,Planning,Y,Out,OBC-NCL,,
119,NIT,226,"National Institute of Technology, Tiruchirappalli",5101,Architecture,Y,Out,OBC-NCL(PwD),66,28
120,NIT,206,National Institute of Technology Calicut,4110,Computer Science and Engineering,Y,Out,OBC-NCL(PwD),98,134
121,NIT,206,National Institute of Technology Calicut,4114,Electronics and Communication Engineering,Y,Out,OBC-NCL(PwD),231,252
122,NIT,206,National Institute of Technology Calicut,4144,Electrical and Electronics Engineering,Y,Reach,OBC-NCL(PwD),318,617
123,NIT,206,National Institute of Technology Calicut,4125,Mechanical Engineering,Y,SAFE,OBC-NCL(PwD),848,1249
124,NIT,206,National Institute of Technology Calicut,4107,Chemical Engineering,Y,Borderline,OBC-NCL(PwD),404,456
125,NIT,206,National Institute of Technology Calicut,4109,Civil Engineering,Y,SAFE,OBC-NCL(PwD),918,1679
126,NIT,206,National Institute of Technology Calicut,5A09,B. Tech. (Mathematics & Computing) M. Tech. in (Mathematics & Computing),Y,No-data,,,
127,NIT,206,National Institute of Technology Calicut,4198,Energy Engineering,Y,Good,OBC-NCL(PwD),630,1146
128,NIT,206,National Institute of Technology Calicut,4117,Engineering Physics,Y,SAFE,General PwD,715,1892
129,NIT,206,National Institute of Technology Calicut,4123,Materials Science and Engineering,Y,Good,General PwD,,1433
130,NIT,206,National Institute of Technology Calicut,4145,Production Engineering,Y,SAFE,OBC-NCL(PwD),837,1704
131,NIT,206,National Institute of Technology Calicut,4104,Bio Technology,Y,Reach,OBC-NCL(PwD),355,266
132,NIT,206,National Institute of Technology Calicut,5101,Architecture,Y,Out,General PwD,38,98
133,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4110,Computer Science and Engineering,Y,Out,OBC-NCL(PwD),172,223
134,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4185,Artificial Intelligence,Y,Good,OBC-NCL(PwD),474,430
135,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",5B06,Artificial Intelligence,Y,Out,General PwD,,473
136,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4124,Mathematics and Computing,Y,Good,General PwD,306,1184
137,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4114,Electronics and Communication Engineering,Y,Borderline,OBC-NCL(PwD),439,668
138,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",410V,Electronics and VLSI Engineering,Y,Borderline,General PwD,,1105
139,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4111,Electrical Engineering,Y,Good,OBC-NCL(PwD),611,1287
140,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4125,Mechanical Engineering,Y,SAFE,OBC-NCL(PwD),814,1278
141,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4107,Chemical Engineering,Y,SAFE,OBC-NCL(PwD),1395,1501
142,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4109,Civil Engineering,Y,Good,OBC-NCL(PwD),740,1577
143,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4117,Engineering Physics,Y,SAFE,General PwD,,2141
144,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",5H3C,Chemistry,Y,No-data,,,
145,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",410B,Industrial Chemistry,Y,SAFE,General PwD,1113,3431
146,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",5H3E,Mathematics,Y,No-data,,,
147,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",5H3D,Physics,Y,No-data,,,
148,NIT,219,"National Institute of Technology, Jamshedpur",4110,Computer Science and Engineering,Y,Out,OBC-NCL(PwD),262,516
149,NIT,219,"National Institute of Technology, Jamshedpur",4114,Electronics and Communication Engineering,Y,Good,OBC-NCL(PwD),748,
150,NIT,219,"National Institute of Technology, Jamshedpur",4111,Electrical Engineering,Y,SAFE,OBC-NCL(PwD),1104,1201
151,NIT,219,"National Institute of Technology, Jamshedpur",4125,Mechanical Engineering,Y,SAFE,OBC-NCL(PwD),1650,1148
152,NIT,219,"National Institute of Technology, Jamshedpur",4109,Civil Engineering,Y,SAFE,OBC-NCL(PwD),1343,2708
153,NIT,219,"National Institute of Technology, Jamshedpur",4127,Metallurgical and Materials Engineering,Y,SAFE,General PwD,,3908
154,NIT,219,"National Institute of Technology, Jamshedpur",4192,Engineering and Computational Mechanics,Y,Borderline,General PwD,,1012
155,NIT,219,"National Institute of Technology, Jamshedpur",4136,Production and Industrial Engineering,Y,SAFE,OBC-NCL(PwD),1687,2482
156,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4110,Computer Science and Engineering,Y,Out,OBC-NCL(PwD),110,199
157,NIT,214,National Institute of Technology Patna,4110,Computer Science and Engineering,Y,Out,General PwD,227,589
158,NIT,214,National Institute of Technology Patna,520I,Computer Science and Engineering with Specialization in Cyber Security,-,Borderline,OBC-NCL(PwD),431,705
159,NIT,214,National Institute of Technology Patna,520H,Computer Science and Engineering with Specialization in Data Science,-,Borderline,General PwD,,1048
160,NIT,214,National Institute of Technology Patna,4188,Artificial Intelligence and Data Science,Y,Out,General PwD,,638
161,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4124,Mathematics and Computing,Y,No-data,,,
162,NIT,214,National Institute of Technology Patna,520O,Mathematics and Computing Technology,-,Reach,General PwD,,727
