Choice,Composite,Type,InstCode,Institute,BranchCode,Branch,PwDseat,Reach,OBC-PwD_close,Gen-PwD_close
38,90.0,GFTI,421,University of Hyderabad,5314,Computer Science and Engineering,Y,No-data,,
39,89.75,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",411H,Electronics Engineering (VLSI Design and Technology),Y,No-data,,
40,89.62,NIT,211,"National Institute of Technology Karnataka, Surathkal",4146,Information Technology,Y,Out,,112
41,89.62,NIT,208,National Institute of Technology Durgapur,411F,B.Tech in Mathematics and Computing,Y,Borderline,430,
42,89.38,NIT,206,National Institute of Technology Calicut,4114,Electronics and Communication Engineering,Y,Out,170,252
43,89.38,NIT,220,"National Institute of Technology, Kurukshetra",4188,Artificial Intelligence and Data Science,Y,Out,,
44,89.38,NIT,220,"National Institute of Technology, Kurukshetra",410P,Artificial Intelligence and Machine Learning,Y,Out,161,321
45,88.75,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",4114,Electronics and Communication Engineering,Y,Out,200,457
46,88.75,IIIT,311,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",4110,Computer Science and Engineering,Y,Reach,330,675
47,88.38,NIT,220,"National Institute of Technology, Kurukshetra",4124,Mathematics and Computing,Y,Out,269,487
48,88.12,NIT,202,Malaviya National Institute of Technology Jaipur,4114,Electronics and Communication Engineering,Y,Out,90,
49,88.12,IIIT,301,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,4110,Computer Science and Engineering,Y,Out,229,129
50,87.88,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",410V,Electronics and VLSI Engineering,Y,Borderline,,1105
51,87.5,NIT,223,"National Institute of Technology, Rourkela",4142,Electronics and Instrumentation Engineering,Y,Out,,
52,87.5,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4114,Electronics and Communication Engineering,Y,Out,184,365
53,87.5,IIIT,310,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4110,Computer Science and Engineering,Y,Out,208,458
54,87.5,IIIT,310,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",5216,Computer Science and Engineering,Y,Reach,313,688
55,87.38,NIT,228,"National Institute of Technology, Warangal",4144,Electrical and Electronics Engineering,Y,Reach,356,623
56,86.88,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4114,Electronics and Communication Engineering,Y,Borderline,439,668
57,86.88,GFTI,422,"Punjab Engineering College, Chandigarh",4110,Computer Science and Engineering,Y,No-data,,
58,86.75,NIT,226,"National Institute of Technology, Tiruchirappalli",4144,Electrical and Electronics Engineering,Y,Out,,194
59,86.38,NIT,228,"National Institute of Technology, Warangal",413O,Electrical and Electronics Engineering (Electric Mobility),Y,No-data,,
60,86.25,IIIT,315,Indian Institute of Information Technology Lucknow,4184,Computer Science,Y,Reach,362,346
61,86.25,IIIT,315,Indian Institute of Information Technology Lucknow,410C,Computer Science and Business,Y,Borderline,459,359
62,86.12,NIT,211,"National Institute of Technology Karnataka, Surathkal",4144,Electrical and Electronics Engineering,Y,Out,100,
63,86.0,IIIT,310,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4196,Computer Science and Engineering with Major in Artificial Intelligence,Y,Out,267,363
64,85.62,NIT,208,National Institute of Technology Durgapur,4114,Electronics and Communication Engineering,Y,Out,,506
