Priority,Type,Institute,BranchCode,Branch,Composite,Reach,Note
173,NIT,Malaviya National Institute of Technology Jaipur,4109,Civil Engineering,76.75,Reach,
174,IIIT,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",4114,Electronics and Communication Engineering,76.75,SAFE,
175,IIIT,Indian Institute of Information Technology(IIIT) Dharwad,4110,Computer Science and Engineering,76.75,SAFE,
176,NIT,"National Institute of Technology, Jamshedpur",4125,Mechanical Engineering,76.7,SAFE,
177,IIIT,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",4146,Information Technology,76.5,SAFE,
178,IIIT,Indian Institute of Information Technology (IIIT) Pune,413X,Microelectronics and VLSI Design,76.45,No-data,
179,NIT,National Institute of Technology Calicut,4198,Energy Engineering,76.25,Good,
180,NIT,National Institute of Technology Calicut,4123,Materials Science and Engineering,76.25,Good,
181,GFTI,"Punjab Engineering College, Chandigarh",4111,Electrical Engineering,76.25,No-data,
182,GFTI,"Birla Institute of Technology, Mesra, Ranchi",5511,Quantitative Economics & Data Science,76.25,Out,
183,NIT,Motilal Nehru National Institute of Technology Allahabad,4109,Civil Engineering,76.0,Reach,
184,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,4114,Electronics and Communication Engineering,76.0,SAFE,
185,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,410H,Electronics and Communication Engineering (Internet of Things),76.0,SAFE,
186,IIIT,Indian Institute of Information Technology(IIIT) Kottayam,4110,Computer Science and Engineering,76.0,SAFE,
187,IIIT,Indian Institute of Information Technology(IIIT) Kottayam,4195,Computer Science and Engineering with specialization in Cyber Security,76.0,SAFE,
188,NIT,"National Institute of Technology, Silchar",4125,Mechanical Engineering,75.95,SAFE,
189,NIT,"National Institute of Technology, Kurukshetra",411C,Industrial Internet of Things,75.85,Good,
190,NIT,"National Institute of Technology, Kurukshetra",4136,Production and Industrial Engineering,75.85,SAFE,
191,NIT,"National Institute of Technology Karnataka, Surathkal",4130,Mining Engineering,75.75,Out,
192,NIT,National Institute of Technology Durgapur,4107,Chemical Engineering,75.75,SAFE,
193,NIT,National Institute of Technology Durgapur,5257,Chemical Engineering,75.75,Out,
194,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4127,Metallurgical and Materials Engineering,75.5,SAFE,
195,IIIT,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",411G,Artificial Intelligence and Data Engineering,75.5,SAFE,
196,GFTI,"Birla Institute of Technology, Mesra, Ranchi",5506,Mathematics and Computing,75.45,SAFE,
197,NIT,"National Institute of Technology, Warangal",4104,Bio Technology,75.25,Reach,
198,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4109,Civil Engineering,75.25,Good,
199,IIIT,Indian Institute of Information Technology (IIIT) Pune,4114,Electronics and Communication Engineering,75.25,Good,
200,IIIT,Indian Institute of Information Technology Tiruchirappalli,4110,Computer Science and Engineering,75.25,Good,
201,NIT,"National Institute of Technology, Jamshedpur",4136,Production and Industrial Engineering,75.1,SAFE,
202,NIT,"National Institute of Technology, Rourkela",4130,Mining Engineering,75.0,Out,
203,NIT,"National Institute of Technology, Rourkela",5247,Mining Engineering,75.0,Out,
204,NIT,Maulana Azad National Institute of Technology Bhopal,4107,Chemical Engineering,75.0,SAFE,
205,NIT,National Institute of Technology Raipur,4146,Information Technology,75.0,Reach,
206,IIIT,Indian Institute of Information Technology(IIIT) Kottayam,410R,Computer Science and Engineering with specialization in Artificial Intelligence and Data Science,74.8,SAFE,
207,NIT,Malaviya National Institute of Technology Jaipur,4127,Metallurgical and Materials Engineering,74.75,Good,
208,IIIT,Indian Institute of Information Technology(IIIT) Dharwad,413T,Artificial Intelligence and Computing,74.75,No-data,
209,IIIT,Indian Institute of Information Technology(IIIT) Dharwad,4181,Data Science and Artificial Intelligence,74.75,SAFE,
210,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4109,Civil Engineering,74.5,SAFE,
