Priority,Tier,Type,Institute,BranchCode,Branch,Reach
110,GOOD,NIT,"National Institute of Technology, Kurukshetra",4111,Electrical Engineering,Good
111,GOOD,NIT,"National Institute of Technology, Kurukshetra",5217,Electrical Engineering,Out
112,GOOD,IIIT,Indian Institute of Information Technology Lucknow,4190,Computer Science and Artificial Intelligence,Borderline
113,GOOD,NIT,National Institute of Technology Calicut,4107,Chemical Engineering,Good
114,GOOD,NIT,"National Institute of Technology, Rourkela",4109,Civil Engineering,Borderline
115,GOOD,NIT,"National Institute of Technology, Tiruchirappalli",4127,Metallurgical and Materials Engineering,Reach
116,GOOD,IIIT,Indian Institute of Information Technology (IIIT) Pune,4110,Computer Science and Engineering,Good
117,GOOD,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4125,Mechanical Engineering,SAFE
118,GOOD,IIIT,"Indian Institute of Information Technology, Allahabad",4114,Electronics and Communication Engineering,Reach
119,GOOD,IIIT,"Indian Institute of Information Technology, Allahabad",5234,Electronics and Communication Engineering,No-data
120,GOOD,NIT,"National Institute of Technology, Jamshedpur",4111,Electrical Engineering,Good
121,GOOD,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,410E,Computer Science Engineering (Artificial lntelligence and Machine Learning),No-data
122,GOOD,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,410F,Computer Science Engineering (Data Science and Analytics),Good
123,GOOD,NIT,"National Institute of Technology, Silchar",4142,Electronics and Instrumentation Engineering,Good
124,GOOD,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4107,Chemical Engineering,SAFE
125,GOOD,NIT,"Visvesvaraya National Institute of Technology, Nagpur",413Y,Chemical Technology (Bioprocess Technology),No-data
126,GOOD,NIT,"National Institute of Technology, Warangal",4109,Civil Engineering,Out
127,GOOD,NIT,"National Institute of Technology Karnataka, Surathkal",4127,Metallurgical and Materials Engineering,Good
128,GOOD,IIIT,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",4110,Computer Science and Engineering,SAFE
129,GOOD,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4125,Mechanical Engineering,SAFE
130,GOOD,IIIT,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",4114,Electronics and Communication Engineering,Good
131,GOOD,NIT,"National Institute of Technology, Silchar",4111,Electrical Engineering,Good
132,GOOD,NIT,Malaviya National Institute of Technology Jaipur,4107,Chemical Engineering,SAFE
133,GOOD,NIT,National Institute of Technology Calicut,4109,Civil Engineering,Borderline
134,GOOD,NIT,"National Institute of Technology, Rourkela",4106,Ceramic Engineering,SAFE
135,GOOD,NIT,"National Institute of Technology, Rourkela",4169,Food Process Engineering,Out
136,GOOD,NIT,"National Institute of Technology, Rourkela",4127,Metallurgical and Materials Engineering,Good
137,GOOD,NIT,"National Institute of Technology, Rourkela",5243,Metallurgical and Materials Engineering,Out
138,GOOD,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",410B,Industrial Chemistry,SAFE
139,GOOD,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",523T,B.Tech. in Electronics and Communication Engineering and M.Tech. in Microelectronics and VLSI Systems,Good
