"url","title","channel","publishedAt","views","likes","comments","duration","theme","query"
"https://www.youtube.com/watch?v=z40Udk6N01U","Josaa counselling 2022 Mock allotment timings | What to do after that ? #Mock #allotment #Josaa #NIT","Information & Educational Videos","2022-09-17T12:35:09Z","1157","29","6","PT4M19S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=ucX2BiydrwQ","Josaa Counseling 2025 Mock Allotment Details | What to do after mock allotment ? #Mock_Allotment","Admission Academy","2025-06-09T03:30:41Z","1112","0","0","PT25S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=1_oxycN9fO8","Last Chance Before Mock Allotment! Check Your Choice Filling | JoSAA 2026","Counselify","2026-06-06T10:43:58Z","972","0","1","PT24S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=QxlrP10vGic","Mock Seat Allotment in JoSAA 2026 🚀| Choice Filling Kaise Karein? | Josaa Counselling 2026 #josaa","Student Khabri","2026-06-04T08:30:02Z","962","26","0","PT1M34S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=RsjTdNAk6mc","JoSAA B.ARCH COUNSELLING PROCEDURE 2021 | MOCK ALLOTMENT 01 | ARCHITECTURE","THiNC Institute English (Design & Architecture)","2021-10-22T09:42:28Z","954","18","28","PT15M50S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=d4AMYRfUjOY","Josaa 2023 Mock allotment 2 done now ✅ | How to change the choice to get seat ? #Mock #allotment","Information & Educational Videos","2023-06-27T07:46:30Z","804","4","13","PT3M","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=fBkliNOJsAM","JOSAA COUNSELLING 2023 ||💥MOCK ALLOTMENT में 🔥COLLEGE नहीं 🤔मिला तो क्या करे ?","Education Ji","2023-06-26T11:59:04Z","681","11","11","PT5M38S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=yTse6WdylUE","JoSAA B.ARCH COUNSELLING PROCEDURE 2021 | MOCK ALLOTMENT 02 | ARCHITECTURE","THiNC Institute English (Design & Architecture)","2021-10-24T09:34:32Z","663","10","23","PT11M9S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=RjlmngfN6A4","Josaa counselling 2023 Mock allotment urgent update ✅ | What to do after mock allotment #josaa2023","Information & Educational Videos","2023-06-24T14:17:56Z","537","1","14","PT4M13S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=ZuXUmPL47to","JOSAA Mock Allotment Result | Latest Update on mock result | What to do next ? #Mock #Josaa #Results","Information & Educational Videos","2021-10-22T07:55:00Z","530","20","1","PT2M43S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=oxOYUfaj3bk","Josaa counselling mock allotment complete information in one minute ✅#counselling #mock_allotment","Information & Educational Videos","2023-06-25T12:46:09Z","404","9","0","PT57S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=o5OqFMy9RCw","🚨 Mock Allotment से पहले ये काम कर लो! वरना पछताना पड़ सकता है | JoSAA 2026","Counselify","2026-06-06T08:30:09Z","364","0","1","PT28S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=I2rgt-bdwqI","JOSAA Counseling 2026 Urgent update for mock allotment | What to do after mock allotment #josaa","Information & Educational Videos","2026-06-07T15:04:10Z","333","1","0","PT1M","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=qiqLhjeuLOg","🚨 JOSAA 2026 Mock Choice Filling 1 Last Day | వీళ్లకే సీటు వచ్చే ఛాన్స్ ఎక్కువ! | Open/OBC/SC/ST","RS ACADEMY","2026-06-07T04:24:18Z","235","8","0","PT2M56S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=L8I_zaXzFeo","JOSAA Counseling 2026 Urgent update for mock allotment | What to do after mock allotment #josaa","Admission Academy","2026-06-07T15:19:06Z","183","3","0","PT58S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=AElwLOovx3U","JoSAA 2025 Mock Allotment Out! Check now & lock choices before June 12! ✅🎓 #JoSAA2025","TheNewsHubWorldOnline","2025-06-09T09:53:30Z","114","0","0","PT36S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=n2-ep_-VUwE","JoSAA  Counselling MOCK Allotment #GenuineInformation #josaa2021 #jossacounselling #igdtuw","Pogi app","2021-10-24T11:14:09Z","65","4","0","PT16S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=B1jYMI8GcoA","JOSAA Counselling 2026 ���� Mock Seat Allotment Urgent Update ✅ | Biggest Confusion Finally Cleared 🤔","Manmohan sir classes","2026-06-07T10:24:46Z","30","2","2","PT7M17S","choice_filling","JoSAA mock allotment"
